engine,cycle,(Fan inlet temperature) (◦R),(LPC outlet temperature) (◦R),(HPC outlet temperature) (◦R),(LPT outlet temperature) (◦R),(Fan inlet Pressure) (psia),(bypass-duct pressure) (psia),(HPC outlet pressure) (psia),(Physical fan speed) (rpm),(Physical core speed) (rpm),(Engine pressure ratio(P50/P2),(HPC outlet Static pressure) (psia),(Ratio of fuel flow to Ps30) (pps/psia),(Corrected fan speed) (rpm),(Corrected core speed) (rpm),(Bypass Ratio) ,(Burner fuel-air ratio),(Bleed Enthalpy),(Required fan speed),(Required fan conversion speed),(High-pressure turbines Cool air flow),(Low-pressure turbines Cool air flow),RUL
185,254,518.67,642.94,1599.68,1417.19,14.62,21.61,551.99,2388.1,9154.16,1.3,47.97,520.81,2388.15,8213.84,8.5202,0.03,397,2388,100.0,38.32,23.0895,19
186,166,491.19,608.11,1497.01,1280.68,9.35,13.66,333.47,2324.03,8718.37,1.08,45.17,313.82,2388.16,8048.75,9.3176,0.03,368,2324,100.0,24.29,14.663,10
187,84,462.54,537.01,1261.23,1047.13,7.05,9.03,175.48,1915.49,8013.36,0.94,36.63,164.45,2028.4,7875.03,10.8525,0.02,308,1915,84.93,14.26,8.5228,158
188,86,518.67,643.02,1589.77,1409.52,14.62,21.61,553.38,2388.02,9070.49,1.3,47.41,522.29,2388.07,8140.05,8.4334,0.03,393,2388,100.0,38.97,23.3526,183
189,178,449.44,555.48,1370.66,1135.96,5.48,8.0,194.49,2223.49,8385.27,1.02,42.08,182.68,2388.64,8094.32,9.3273,0.02,335,2223,100.0,14.77,8.8504,43
190,158,445.0,550.12,1357.43,1138.37,3.91,5.72,138.34,2211.49,8310.44,1.02,42.46,130.62,2387.52,8067.34,9.446,0.02,333,2212,100.0,10.52,6.2171,12
191,95,445.0,549.47,1350.16,1127.02,3.91,5.72,138.47,2211.81,8317.96,1.02,42.19,130.63,2387.85,8079.8,9.3649,0.02,331,2212,100.0,10.5,6.3418,148
192,161,449.44,556.66,1371.83,1146.49,5.48,8.0,194.22,2222.76,8345.41,1.02,42.28,183.12,2387.79,8055.79,9.3848,0.02,336,2223,100.0,14.75,8.8028,13
193,245,445.0,550.12,1357.99,1130.1,3.91,5.72,138.25,2211.71,8318.89,1.02,42.5,130.23,2387.77,8080.58,9.4145,0.02,332,2212,100.0,10.66,6.3784,37
194,50,445.0,549.95,1353.16,1119.28,3.91,5.71,139.0,2212.11,8337.83,1.02,42.13,130.56,2388.28,8096.25,9.3383,0.02,328,2212,100.0,10.57,6.4319,122
195,262,489.05,604.56,1498.43,1311.68,10.52,15.49,394.0,2318.99,8821.05,1.26,45.48,371.66,2388.15,8169.14,8.6878,0.03,371,2319,100.0,28.57,17.0494,80
196,109,445.0,549.82,1348.4,1117.3,3.91,5.72,139.06,2211.89,8325.27,1.02,41.96,130.89,2387.99,8084.15,9.3775,0.02,329,2212,100.0,10.59,6.397,93
197,59,462.54,536.88,1254.97,1046.95,7.05,9.03,176.06,1915.41,8016.89,0.94,36.57,164.7,2028.32,7882.04,10.8608,0.02,307,1915,84.93,14.24,8.6068,132
198,120,462.54,536.84,1264.8,1048.0,7.05,9.03,174.74,1915.41,8016.07,0.94,36.88,164.18,2028.36,7871.89,10.92,0.02,308,1915,84.93,14.34,8.5929,32
199,117,518.67,642.47,1588.05,1397.81,14.62,21.61,555.08,2388.08,9055.32,1.3,47.35,521.96,2388.07,8136.92,8.4229,0.03,393,2388,100.0,39.16,23.4414,103
200,60,491.19,607.89,1488.15,1256.17,9.35,13.66,334.69,2324.01,8724.75,1.08,44.62,314.87,2388.06,8058.2,9.2349,0.03,364,2324,100.0,24.44,14.5768,174
201,25,491.19,607.62,1491.35,1244.85,9.35,13.65,334.51,2323.87,8714.29,1.08,44.46,315.33,2388.03,8050.48,9.2294,0.02,364,2324,100.0,24.43,14.7811,111
202,124,491.19,607.68,1488.97,1244.5,9.35,13.66,333.85,2323.94,8723.88,1.08,44.35,314.81,2388.09,8059.13,9.2673,0.02,364,2324,100.0,24.63,14.806,68
203,115,462.54,537.04,1256.25,1045.6,7.05,9.02,175.39,1915.42,8009.4,0.94,36.68,164.84,2028.32,7870.1,10.8408,0.02,307,1915,84.93,14.42,8.5741,192
204,41,449.44,555.28,1359.06,1127.87,5.48,8.0,194.77,2222.96,8349.58,1.02,41.89,182.88,2388.05,8059.91,9.2803,0.02,333,2223,100.0,15.04,8.9816,121
205,31,491.19,607.78,1487.75,1252.7,9.35,13.66,334.44,2323.94,8706.74,1.08,44.57,314.74,2387.99,8051.02,9.2369,0.02,366,2324,100.0,24.34,14.6557,134
206,162,462.54,536.83,1269.34,1050.64,7.05,9.03,174.87,1915.49,8022.16,0.94,36.9,164.48,2028.32,7884.83,10.9726,0.02,309,1915,84.93,14.2,8.5848,48
207,141,491.19,607.81,1484.43,1245.32,9.35,13.66,334.46,2324.09,8743.88,1.08,44.35,314.9,2388.22,8080.87,9.2884,0.02,364,2324,100.0,24.65,14.6776,85
208,166,445.0,550.44,1358.17,1143.55,3.91,5.71,138.2,2212.15,8344.04,1.02,42.43,130.36,2388.23,8103.56,9.4476,0.02,332,2212,100.0,10.43,6.3301,8
209,131,462.54,536.91,1266.22,1054.71,7.05,9.03,175.13,1915.24,8000.17,0.94,36.79,164.71,2028.13,7870.1,10.9397,0.02,306,1915,84.93,14.32,8.5428,23
210,182,445.0,550.51,1369.08,1144.61,3.91,5.72,138.81,2213.22,8406.76,1.03,42.79,130.94,2389.36,8157.82,9.4063,0.02,334,2212,100.0,10.56,6.2472,8
211,155,445.0,550.01,1358.68,1137.62,3.91,5.71,138.42,2211.33,8303.97,1.02,42.66,130.25,2387.41,8058.86,9.4308,0.02,333,2212,100.0,10.73,6.3605,6
212,187,518.67,642.37,1586.9,1413.32,14.62,21.61,553.4,2388.08,9055.66,1.3,47.49,521.21,2388.12,8141.32,8.4371,0.03,395,2388,100.0,38.96,23.1593,57
213,159,518.67,643.12,1595.74,1407.62,14.62,21.61,552.5,2388.1,9059.92,1.3,47.52,521.44,2388.17,8133.3,8.3947,0.03,395,2388,100.0,38.64,23.3314,83
214,75,449.44,555.39,1365.3,1128.99,5.48,8.0,194.51,2222.93,8346.03,1.02,41.89,182.77,2388.02,8065.58,9.3229,0.02,334,2223,100.0,14.9,8.9188,172
215,71,445.0,549.8,1354.31,1125.18,3.91,5.72,138.05,2211.73,8322.38,1.02,42.12,130.33,2387.83,8082.55,9.3892,0.02,331,2212,100.0,10.5,6.4429,101
216,100,489.05,605.47,1509.09,1315.02,10.52,15.49,394.55,2318.98,8763.39,1.26,45.46,371.26,2388.22,8110.06,8.6946,0.03,369,2319,100.0,28.22,17.0178,81
217,49,491.19,607.86,1481.76,1248.03,9.35,13.65,334.59,2323.93,8726.49,1.08,44.25,315.17,2388.04,8059.17,9.2271,0.02,364,2324,100.0,24.58,14.712,86
218,33,449.44,555.3,1353.98,1115.39,5.48,8.0,194.6,2222.95,8354.65,1.03,41.45,182.73,2388.04,8067.18,9.2568,0.02,333,2223,100.0,14.8,8.9901,165
219,161,518.67,642.11,1580.53,1403.05,14.62,21.61,554.31,2388.02,9077.78,1.3,47.22,521.95,2388.03,8160.1,8.4184,0.03,394,2388,100.0,38.91,23.2832,73
220,54,445.0,549.84,1356.78,1125.35,3.91,5.72,138.86,2212.1,8328.0,1.02,41.98,130.66,2388.16,8090.55,9.3834,0.02,331,2212,100.0,10.8,6.3694,121
221,55,445.0,549.73,1349.97,1131.41,3.91,5.71,138.36,2211.68,8316.05,1.02,42.05,130.46,2387.78,8074.23,9.3587,0.02,331,2212,100.0,10.57,6.3518,139
222,180,491.19,607.72,1486.98,1258.88,9.35,13.66,334.03,2323.95,8711.75,1.08,44.67,314.88,2388.09,8049.55,9.2258,0.03,366,2324,100.0,24.38,14.7576,75
223,29,462.54,536.52,1256.38,1041.35,7.05,9.02,174.8,1915.43,8012.82,0.94,36.67,164.9,2028.37,7872.19,10.843,0.02,305,1915,84.93,14.41,8.6688,151
224,43,491.19,607.22,1485.63,1247.69,9.35,13.65,335.04,2323.98,8726.81,1.08,44.14,315.84,2388.06,8066.09,9.2163,0.02,363,2324,100.0,24.63,14.8498,145
225,166,491.19,608.43,1496.51,1268.18,9.35,13.66,333.09,2324.08,8730.64,1.07,45.03,313.69,2388.22,8056.11,9.2714,0.03,368,2324,100.0,24.23,14.5574,11
226,165,445.0,550.39,1346.75,1133.59,3.91,5.72,138.57,2211.83,8317.45,1.02,42.09,130.91,2387.91,8080.44,9.4046,0.02,331,2212,100.0,10.49,6.3599,108
227,180,445.0,550.31,1365.23,1141.84,3.91,5.72,138.58,2211.59,8313.13,1.02,42.63,129.99,2387.71,8071.5,9.4489,0.02,334,2212,100.0,10.42,6.2429,14
228,44,445.0,549.74,1359.41,1131.31,3.91,5.72,138.25,2211.84,8316.42,1.02,42.18,130.35,2387.84,8080.46,9.3885,0.02,331,2212,100.0,10.53,6.1615,126
229,109,449.44,555.55,1369.12,1126.6,5.48,8.0,194.4,2222.91,8353.98,1.02,42.06,183.12,2387.97,8061.98,9.356,0.02,334,2223,100.0,14.78,8.7983,61
230,125,462.54,536.79,1261.32,1053.04,7.05,9.03,176.06,1915.46,8016.32,0.94,36.47,165.09,2028.38,7876.34,10.8623,0.02,307,1915,84.93,14.33,8.6464,85
231,187,445.0,550.86,1365.11,1140.81,3.91,5.72,137.72,2212.56,8369.89,1.03,42.58,130.56,2388.72,8124.83,9.3916,0.02,334,2212,100.0,10.45,6.2982,8
232,159,449.44,555.96,1375.47,1132.13,5.48,8.0,194.33,2222.99,8363.0,1.02,42.13,182.72,2388.04,8071.33,9.3647,0.02,335,2223,100.0,14.83,8.8211,101
233,40,489.05,604.88,1495.11,1303.6,10.52,15.49,394.48,2318.92,8775.99,1.26,45.41,371.66,2388.07,8128.97,8.6234,0.03,370,2319,100.0,28.66,17.2624,153
234,147,462.54,536.55,1255.51,1046.37,7.05,9.02,175.32,1915.27,8008.31,0.94,36.64,164.91,2028.24,7879.43,10.9348,0.02,309,1915,84.93,14.37,8.595,89
235,102,489.05,604.46,1497.58,1311.01,10.52,15.49,394.71,2318.95,8779.94,1.26,45.41,371.0,2388.19,8130.04,8.6279,0.03,370,2319,100.0,28.59,17.3035,190
236,274,462.54,537.26,1271.62,1060.86,7.05,9.03,175.45,1915.83,8042.99,0.94,36.99,163.72,2028.85,7903.09,11.006,0.02,308,1915,84.93,14.11,8.5936,12
237,235,489.05,605.41,1507.21,1321.81,10.52,15.5,394.24,2319.06,8785.66,1.26,45.66,371.05,2388.28,8134.62,8.7203,0.03,371,2319,100.0,28.45,17.0137,62
238,94,489.05,604.82,1496.25,1303.5,10.52,15.49,395.29,2318.88,8777.06,1.26,45.29,371.85,2388.11,8130.34,8.5982,0.03,368,2319,100.0,28.45,17.1538,134
239,106,449.44,555.88,1371.26,1135.42,5.48,8.0,193.62,2223.01,8350.49,1.02,42.02,183.08,2388.11,8070.93,9.3349,0.02,332,2223,100.0,14.98,8.8393,101
240,50,445.0,549.31,1355.48,1130.94,3.91,5.72,138.24,2211.92,8323.22,1.02,42.15,130.27,2387.99,8084.48,9.3385,0.02,329,2212,100.0,10.62,6.3084,121
241,44,518.67,642.28,1575.0,1394.81,14.62,21.61,554.25,2387.99,9055.61,1.3,47.1,522.52,2388.07,8134.57,8.3911,0.03,392,2388,100.0,39.13,23.4272,167
242,194,449.44,556.63,1370.44,1144.9,5.48,8.0,193.81,2223.05,8360.2,1.02,42.47,182.7,2388.16,8077.43,9.3995,0.02,335,2223,100.0,14.88,8.8304,17
243,40,449.44,555.4,1363.02,1128.46,5.48,8.0,194.27,2222.92,8341.74,1.02,42.06,183.32,2387.96,8065.35,9.3595,0.02,335,2223,100.0,15.04,8.9244,161
244,49,462.54,536.5,1256.67,1055.55,7.05,9.03,175.39,1915.42,8020.8,0.94,36.59,164.59,2028.27,7880.7,10.9088,0.02,307,1915,84.93,14.33,8.639,181
245,265,462.54,537.47,1273.18,1062.82,7.05,9.03,174.54,1916.03,8051.51,0.94,37.11,164.29,2028.99,7917.34,10.986,0.02,309,1915,84.93,14.14,8.5214,16
246,80,491.19,607.67,1487.99,1256.14,9.35,13.65,334.45,2324.02,8722.76,1.08,44.39,314.9,2388.09,8057.16,9.2085,0.02,365,2324,100.0,24.38,14.7386,152
247,87,449.44,555.04,1361.47,1119.11,5.48,8.0,195.57,2223.0,8352.98,1.02,41.65,183.58,2388.09,8067.75,9.3335,0.02,333,2223,100.0,14.73,8.8224,148
248,162,491.19,607.21,1476.62,1255.95,9.35,13.66,334.07,2324.16,8755.8,1.08,44.47,315.5,2388.2,8085.48,9.2333,0.02,364,2324,100.0,24.34,14.6712,56
249,36,489.05,604.51,1500.04,1307.65,10.52,15.49,394.39,2318.95,8776.76,1.26,45.41,371.97,2388.12,8123.58,8.6526,0.03,370,2319,100.0,28.42,17.2324,111
250,234,491.19,608.34,1489.12,1256.21,9.35,13.66,334.02,2324.43,8786.28,1.07,44.79,314.85,2388.59,8116.17,9.2913,0.03,367,2324,100.0,24.21,14.491,23
251,64,462.54,536.73,1260.46,1040.19,7.05,9.02,175.35,1915.19,7998.25,0.94,36.76,164.43,2028.12,7864.19,10.8969,0.02,307,1915,84.93,14.23,8.4521,84
252,249,491.19,608.53,1501.26,1269.84,9.35,13.66,333.54,2324.15,8729.68,1.07,44.91,313.53,2388.27,8062.54,9.3287,0.03,368,2324,100.0,24.35,14.5734,12
253,139,518.67,643.51,1595.23,1418.75,14.62,21.61,552.54,2388.16,9058.59,1.3,47.6,520.79,2388.12,8135.8,8.5029,0.03,394,2388,100.0,38.51,23.2499,43
254,131,445.0,550.52,1357.16,1126.3,3.91,5.72,138.17,2212.17,8344.45,1.02,42.22,130.45,2388.23,8098.79,9.3861,0.02,333,2212,100.0,10.72,6.3781,48
255,150,445.0,549.07,1353.72,1123.42,3.91,5.71,139.08,2212.04,8325.49,1.02,42.09,130.48,2388.08,8089.54,9.3592,0.02,331,2212,100.0,10.48,6.4609,122
256,59,489.05,604.76,1501.0,1308.18,10.52,15.49,394.83,2318.95,8775.48,1.26,45.56,371.08,2388.19,8128.82,8.6462,0.03,369,2319,100.0,28.52,17.224,191
257,199,449.44,555.76,1369.89,1128.03,5.48,8.0,195.06,2223.24,8371.82,1.02,42.13,182.64,2388.43,8087.96,9.3123,0.02,333,2223,100.0,14.98,8.8467,56
258,98,518.67,641.89,1590.52,1398.15,14.62,21.61,553.62,2388.1,9060.38,1.3,47.4,521.49,2388.06,8144.2,8.4176,0.03,391,2388,100.0,39.0,23.4591,131
259,123,445.0,549.77,1342.5,1126.96,3.91,5.71,138.37,2212.27,8339.14,1.02,41.93,130.93,2388.4,8105.28,9.3458,0.02,331,2212,100.0,10.63,6.348,51
1,233,518.67,642.59,1592.4,1409.87,14.62,21.58,560.53,2388.22,9085.5,1.31,47.53,528.05,2388.23,8158.77,8.2966,0.03,393,2388,100.0,39.43,23.5679,44
2,124,518.67,642.56,1587.42,1409.69,14.62,21.61,553.33,2388.18,9050.97,1.3,47.71,520.9,2388.17,8128.04,8.4514,0.03,392,2388,100.0,38.83,23.2821,51
3,234,518.67,642.75,1591.93,1417.66,14.62,21.6,563.61,2388.31,9091.69,1.31,47.68,531.36,2388.33,8173.56,8.3057,0.03,395,2388,100.0,39.27,23.644,27
4,68,518.67,642.28,1584.68,1406.56,14.62,21.61,552.75,2388.07,9048.23,1.3,47.26,521.27,2388.09,8133.78,8.4337,0.03,392,2388,100.0,38.7,23.3804,120
5,138,518.67,642.15,1580.59,1397.26,14.62,21.58,553.82,2387.96,9050.89,1.3,47.09,521.74,2387.96,8132.51,8.39,0.03,390,2388,100.0,38.89,23.4463,101
6,64,518.67,642.2,1588.28,1414.37,14.62,21.61,553.66,2388.05,9056.04,1.3,47.51,521.41,2388.03,8137.7,8.4386,0.03,393,2388,100.0,39.13,23.2888,99
7,158,518.67,642.52,1593.45,1412.15,14.62,21.61,552.9,2388.17,9042.58,1.3,47.73,520.38,2388.15,8120.92,8.4414,0.03,394,2388,100.0,38.66,23.2992,71
8,192,518.67,642.59,1590.27,1413.67,14.62,21.61,552.84,2388.12,9050.27,1.3,47.81,521.06,2388.18,8130.22,8.453,0.03,393,2388,100.0,38.87,23.2436,55
9,238,518.67,643.02,1589.19,1412.59,14.62,21.61,552.93,2388.14,9058.59,1.3,47.64,521.13,2388.05,8133.84,8.4333,0.03,395,2388,100.0,38.79,23.2167,55
10,131,518.67,643.33,1587.62,1403.57,14.62,21.61,553.89,2388.04,9063.04,1.3,47.39,521.57,2388.03,8152.28,8.4542,0.03,393,2388,100.0,38.96,23.4555,66
11,103,518.67,642.77,1595.71,1397.64,14.62,21.61,552.27,2388.14,9067.23,1.3,47.73,521.08,2388.06,8150.64,8.4687,0.03,394,2388,100.0,38.73,23.2787,77
12,146,518.67,643.1,1594.27,1409.36,14.62,21.61,553.19,2388.15,9043.11,1.3,47.5,521.51,2388.08,8130.73,8.4348,0.03,392,2388,100.0,38.72,23.2581,115
13,65,518.67,642.27,1588.76,1408.24,14.62,21.61,553.9,2388.03,9071.56,1.3,47.4,521.63,2388.1,8138.23,8.4146,0.03,393,2388,100.0,38.8,23.2691,115
14,169,518.67,643.06,1589.18,1414.1,14.62,21.61,551.53,2388.22,9061.3,1.3,47.78,520.12,2388.17,8142.85,8.4822,0.03,394,2388,100.0,38.46,23.1447,31
15,112,518.67,642.35,1579.67,1393.19,14.62,21.57,554.67,2388.03,9060.85,1.3,47.12,522.8,2388.01,8137.14,8.3845,0.03,391,2388,100.0,39.1,23.4352,108
16,126,518.67,641.74,1581.32,1399.59,14.62,21.56,554.01,2387.94,9051.13,1.3,47.12,521.39,2388.02,8138.82,8.3924,0.03,389,2388,100.0,38.89,23.4274,56
17,230,518.67,642.04,1586.3,1398.12,14.62,21.58,556.63,2388.05,9062.9,1.3,47.05,524.15,2388.03,8142.87,8.3612,0.03,393,2388,100.0,39.31,23.4236,136
18,244,518.67,642.05,1584.92,1398.67,14.62,21.58,555.2,2388.0,9061.85,1.3,47.09,523.08,2388.02,8139.06,8.347,0.03,392,2388,100.0,39.05,23.3625,132
19,115,518.67,642.36,1583.16,1402.52,14.62,21.61,554.15,2388.08,9066.59,1.3,47.32,521.98,2388.06,8140.79,8.3906,0.03,392,2388,100.0,38.93,23.4515,85
20,207,518.67,642.91,1589.68,1405.98,14.62,21.6,560.01,2388.22,9077.34,1.3,47.5,527.91,2388.16,8154.19,8.3498,0.03,394,2388,100.0,39.23,23.6646,56
21,263,518.67,642.98,1597.6,1408.95,14.62,21.58,564.01,2388.37,9098.5,1.31,47.84,532.02,2388.39,8171.38,8.2961,0.03,394,2388,100.0,39.57,23.6946,18
22,119,518.67,642.42,1585.78,1394.85,14.62,21.6,556.45,2388.03,9057.05,1.3,46.88,523.64,2388.07,8141.41,8.4164,0.03,393,2388,100.0,39.17,23.4454,119
23,405,518.67,642.82,1588.26,1406.23,14.62,21.56,559.36,2388.14,9075.1,1.3,47.46,526.74,2388.17,8157.18,8.2974,0.03,393,2388,100.0,39.3,23.5912,78
24,475,518.67,642.7,1602.99,1422.98,14.62,21.56,565.75,2388.47,9118.08,1.31,48.02,533.82,2388.49,8184.92,8.2757,0.03,395,2388,100.0,39.59,23.7786,9
25,169,518.67,642.6,1596.16,1418.78,14.62,21.61,553.05,2388.15,9047.53,1.3,47.69,520.88,2388.14,8130.07,8.4681,0.03,395,2388,100.0,38.84,23.1696,58
26,130,518.67,643.84,1595.28,1419.81,14.62,21.61,551.71,2388.24,9033.39,1.3,48.01,520.1,2388.27,8108.47,8.514,0.03,394,2388,100.0,38.48,23.1183,11
27,104,518.67,642.51,1586.97,1397.9,14.62,21.6,558.27,2388.13,9070.14,1.3,47.32,525.94,2388.11,8149.13,8.3853,0.03,393,2388,100.0,39.33,23.5898,88
28,70,518.67,641.96,1588.71,1404.32,14.62,21.61,555.2,2388.0,9075.06,1.3,47.29,522.25,2388.01,8152.28,8.3963,0.03,392,2388,100.0,38.93,23.3537,144
29,89,518.67,643.07,1580.63,1405.41,14.62,21.61,553.32,2388.12,9046.09,1.3,47.31,521.96,2388.06,8127.97,8.4646,0.03,393,2388,100.0,38.71,23.3739,124
30,333,518.67,642.81,1592.27,1398.87,14.62,21.56,557.35,2388.11,9071.56,1.3,47.49,525.66,2388.07,8152.62,8.3663,0.03,393,2388,100.0,39.25,23.4457,89
31,152,518.67,642.61,1586.38,1397.71,14.62,21.61,554.48,2388.03,9093.04,1.3,47.21,521.94,2388.0,8166.08,8.4303,0.03,393,2388,100.0,38.8,23.361,79
32,120,518.67,643.02,1594.03,1418.04,14.62,21.61,553.7,2388.12,9068.6,1.3,47.91,520.76,2388.17,8147.44,8.4907,0.03,393,2388,100.0,38.56,23.2393,55
33,180,518.67,642.74,1589.28,1405.8,14.62,21.61,553.29,2388.03,9071.3,1.3,47.45,521.78,2388.04,8152.6,8.4507,0.03,394,2388,100.0,38.67,23.3231,71
34,105,518.67,642.82,1598.34,1409.5,14.62,21.61,552.03,2388.13,9044.58,1.3,47.55,521.22,2388.16,8125.36,8.4813,0.03,393,2388,100.0,38.71,23.2396,65
35,144,518.67,641.7,1578.92,1402.59,14.62,21.59,556.44,2388.06,9060.47,1.3,47.41,524.88,2388.03,8148.36,8.3707,0.03,391,2388,100.0,39.4,23.4965,87
36,90,518.67,642.24,1577.35,1390.4,14.62,21.58,554.51,2388.01,9054.55,1.3,47.35,521.91,2387.99,8134.88,8.3892,0.03,392,2388,100.0,39.14,23.4051,137
37,47,518.67,642.23,1587.0,1396.17,14.62,21.61,552.98,2388.05,9051.12,1.3,47.34,522.2,2388.1,8135.45,8.4436,0.03,392,2388,100.0,39.07,23.3946,145
38,133,518.67,643.36,1598.4,1417.09,14.62,21.61,552.66,2388.19,9065.5,1.3,47.92,520.83,2388.13,8141.52,8.483,0.03,395,2388,100.0,38.77,23.2279,22
39,310,518.67,642.47,1603.3,1417.89,14.62,21.58,566.81,2388.39,9119.47,1.31,48.04,533.86,2388.43,8181.98,8.235,0.03,395,2388,100.0,39.65,23.7121,8
40,313,518.67,642.77,1592.97,1406.48,14.62,21.56,561.86,2388.28,9084.55,1.31,47.64,528.86,2388.22,8164.63,8.2987,0.03,394,2388,100.0,39.31,23.6289,41
41,101,518.67,641.85,1584.44,1390.02,14.62,21.57,555.16,2388.01,9060.72,1.3,47.08,522.96,2388.03,8132.88,8.3736,0.03,390,2388,100.0,39.07,23.4378,131
42,87,518.67,642.81,1594.35,1413.87,14.62,21.61,552.5,2388.18,9042.72,1.3,47.47,521.29,2388.14,8122.94,8.4505,0.03,393,2388,100.0,38.64,23.2338,115
43,133,518.67,642.04,1587.46,1398.63,14.62,21.57,554.16,2387.95,9043.53,1.3,47.16,522.66,2387.99,8139.32,8.3665,0.03,391,2388,100.0,38.97,23.4784,128
44,146,518.67,642.91,1592.81,1413.56,14.62,21.61,553.11,2388.15,9053.42,1.3,47.62,520.83,2388.17,8126.89,8.497,0.03,395,2388,100.0,38.63,23.2454,69
45,88,518.67,641.73,1587.77,1407.24,14.62,21.61,554.24,2388.04,9058.2,1.3,47.13,522.36,2388.04,8142.56,8.4139,0.03,390,2388,100.0,38.96,23.3997,111
46,180,518.67,642.78,1597.05,1419.04,14.62,21.59,566.37,2388.46,9109.85,1.31,47.97,533.87,2388.44,8178.29,8.2793,0.03,396,2388,100.0,39.5,23.6794,7
47,56,518.67,641.95,1585.55,1407.92,14.62,21.61,553.81,2388.08,9044.71,1.3,47.38,522.03,2388.07,8128.76,8.4298,0.03,391,2388,100.0,38.94,23.3095,137
48,179,518.67,642.6,1589.84,1417.49,14.62,21.61,552.88,2388.11,9061.28,1.3,47.76,521.27,2388.13,8146.45,8.5063,0.03,393,2388,100.0,38.78,23.2338,55
49,211,518.67,642.34,1576.43,1388.09,14.62,21.57,553.94,2388.02,9050.98,1.3,47.08,521.72,2387.95,8138.54,8.3967,0.03,390,2388,100.0,39.03,23.3872,135
50,147,518.67,643.61,1593.86,1418.5,14.62,21.61,552.15,2388.19,9056.52,1.3,48.01,519.77,2388.24,8131.5,8.5288,0.03,396,2388,100.0,38.39,23.1265,11
51,118,518.67,642.49,1588.46,1411.62,14.62,21.61,553.69,2388.07,9060.05,1.3,47.36,521.48,2388.05,8137.0,8.4452,0.03,392,2388,100.0,38.86,23.2843,78
52,38,518.67,642.28,1581.83,1397.63,14.62,21.61,554.29,2388.03,9071.79,1.3,47.39,522.76,2388.01,8151.79,8.3995,0.03,391,2388,100.0,38.94,23.4396,120
53,108,518.67,642.23,1593.03,1406.27,14.62,21.61,553.74,2388.05,9059.92,1.3,47.37,521.44,2388.03,8142.14,8.4262,0.03,391,2388,100.0,38.87,23.3099,87
54,50,518.67,642.15,1584.14,1410.77,14.62,21.61,554.61,2388.07,9048.74,1.3,47.27,521.59,2388.03,8130.34,8.3917,0.03,393,2388,100.0,39.04,23.3386,87
55,203,518.67,642.85,1598.64,1421.11,14.62,21.61,551.16,2388.19,9050.38,1.3,47.68,520.9,2388.2,8129.6,8.5058,0.03,395,2388,100.0,38.65,23.2542,55
56,162,518.67,642.67,1592.18,1410.49,14.62,21.61,554.11,2388.07,9061.87,1.3,47.46,521.66,2388.06,8143.75,8.4493,0.03,393,2388,100.0,38.82,23.183,93
57,158,518.67,643.18,1591.05,1413.67,14.62,21.61,553.16,2388.15,9052.33,1.3,47.47,521.52,2388.15,8134.64,8.4508,0.03,394,2388,100.0,38.82,23.2588,88
58,119,518.67,642.86,1593.63,1408.34,14.62,21.61,553.45,2388.18,9065.98,1.3,47.49,520.79,2388.12,8136.21,8.4338,0.03,393,2388,100.0,38.81,23.3081,40
59,149,518.67,643.13,1594.19,1411.58,14.62,21.61,552.92,2388.09,9087.85,1.3,47.68,520.96,2388.06,8166.8,8.4501,0.03,394,2388,100.0,38.6,23.2851,49
60,112,518.67,642.85,1582.32,1403.74,14.62,21.61,553.64,2388.11,9055.21,1.3,47.42,521.65,2388.06,8135.6,8.4158,0.03,393,2388,100.0,38.83,23.2713,128
61,78,518.67,641.85,1576.44,1397.72,14.62,21.59,553.24,2387.92,9052.49,1.3,47.08,521.42,2387.9,8131.14,8.4141,0.03,391,2388,100.0,39.09,23.4144,129
62,224,518.67,642.23,1586.17,1405.96,14.62,21.58,558.32,2388.08,9075.23,1.3,47.54,525.81,2388.11,8146.82,8.3755,0.03,392,2388,100.0,39.13,23.3507,58
63,137,518.67,641.94,1586.6,1387.48,14.62,21.6,557.55,2388.07,9063.24,1.3,47.22,524.93,2388.08,8144.98,8.3324,0.03,391,2388,100.0,39.11,23.527,117
64,271,518.67,642.88,1591.13,1412.06,14.62,21.57,562.32,2388.29,9091.62,1.31,47.84,529.82,2388.24,8165.61,8.2712,0.03,393,2388,100.0,39.34,23.5888,28
65,79,518.67,641.7,1577.55,1399.6,14.62,21.6,555.17,2387.98,9055.87,1.3,47.16,522.17,2388.0,8146.63,8.3918,0.03,392,2388,100.0,38.97,23.3691,115
66,122,518.67,642.93,1585.65,1411.99,14.62,21.61,553.23,2388.14,9055.3,1.3,47.63,521.22,2388.12,8131.81,8.4439,0.03,390,2388,100.0,38.83,23.2725,87
67,186,518.67,642.74,1592.19,1403.31,14.62,21.59,558.27,2388.14,9064.93,1.3,47.3,525.76,2388.11,8148.61,8.348,0.03,392,2388,100.0,39.1,23.582,92
68,188,518.67,642.02,1582.84,1399.33,14.62,21.59,554.69,2388.01,9063.52,1.3,47.15,523.18,2387.95,8136.01,8.3422,0.03,391,2388,100.0,39.03,23.4597,103
69,105,518.67,641.67,1589.91,1395.97,14.62,21.61,554.25,2388.02,9067.93,1.3,47.16,522.09,2387.99,8140.55,8.4145,0.03,391,2388,100.0,39.2,23.4771,100
